ROI,site,EV,SMSE,RMSE,Rho
lh_G&S_frontomargin_thickness,ABCD_01,0.031652016107080905,0.9684412648503428,0.1728592915423834,0.20710874972524373
lh_G&S_frontomargin_thickness,ABCD_02,0.02295869125089567,0.9789625262083762,0.1310263211677052,0.15224988710530868
lh_G&S_frontomargin_thickness,ABCD_03,-0.002789415791299099,1.0170701915673843,0.1335216217773046,0.05709492860490064
lh_G&S_frontomargin_thickness,ABCD_04,0.0027566917377765954,0.9985668283425196,0.15707630998107747,0.07142306932742062
lh_G&S_frontomargin_thickness,ABCD_05,0.03987455953114094,0.96068650595626,0.16111979697131631,0.24109779144058172
lh_G&S_frontomargin_thickness,ABCD_06,0.020319341350485964,0.9844165789038398,0.12945741048217166,0.14285732442667115
lh_G&S_frontomargin_thickness,ABCD_07,-0.027361883442239998,1.030772297798669,0.1386644429180009,-0.03785060678750476
lh_G&S_frontomargin_thickness,ABCD_08,0.0168181216291845,0.9871708669728944,0.1584325037223461,0.13077346998084252
lh_G&S_frontomargin_thickness,ABCD_09,0.013466857782501895,0.9910242739142773,0.15837577431359756,0.11647437134283217
lh_G&S_frontomargin_thickness,ABCD_10,0.03620047802066351,0.9699888316594646,0.16634363036791494,0.22571137953314266
lh_G&S_frontomargin_thickness,ABCD_11,0.014011423454928784,1.0307130023137097,0.13814582279994111,0.11929057809152349
lh_G&S_frontomargin_thickness,ABCD_12,0.022861464663117448,1.074334183456008,0.14168514462947113,0.15431874399579848
lh_G&S_frontomargin_thickness,ABCD_13,-0.006475605850724486,1.0392488374076267,0.1719757528138257,0.01995277727158943
lh_G&S_frontomargin_thickness,ABCD_14,0.02432226756508782,0.9756861032106844,0.14835457128818236,0.16534551089132593
lh_G&S_frontomargin_thickness,ABCD_15,-0.003697241368270987,1.0263359657364277,0.17275289962765245,0.033958872740555826
lh_G&S_frontomargin_thickness,ABCD_16,0.011600141859691049,0.9896838977370184,0.1324568817819809,0.11141192168103248
lh_G&S_frontomargin_thickness,ABCD_17,0.009790160351229149,1.0023641172419047,0.2215391089524669,0.10037174941626208
lh_G&S_frontomargin_thickness,ABCD_18,0.00960953428003719,0.9917440090579854,0.15925700502653306,0.10019620364652498
lh_G&S_frontomargin_thickness,ABCD_19,-0.016472020999056758,1.0553058083512579,0.19891504465673782,-0.06197361469118723
lh_G&S_frontomargin_thickness,ABCD_20,0.0049645510080507105,1.0059409873374225,0.146752897774361,0.07365732453924945
lh_G&S_frontomargin_thickness,ABCD_21,-0.01514358851002262,1.0436662956738865,0.1382478443465368,0.004440020650437471
lh_G&S_frontomargin_thickness,ABIDE_GU,0.21494568199962383,0.8424157296484319,0.13696591649674453,0.5125134326473694
lh_G&S_frontomargin_thickness,ABIDE_KKI,0.019713041317906632,0.980301542040852,0.20369425773585062,0.1410136555672897
lh_G&S_frontomargin_thickness,ABIDE_NYU,0.26129080554596607,0.7639306154261006,0.1724134080568143,0.5124619298289415
lh_G&S_frontomargin_thickness,ABIDE_USM,-0.022564673732477614,1.0245084771765873,0.20220201655722955,0.19782133591327505
lh_G&S_frontomargin_thickness,ADD200_KKI,-0.07547191669301845,1.0760857505320431,0.1958606893083367,-0.11761659795142608
lh_G&S_frontomargin_thickness,ADD200_NYU,0.0189156213611813,0.9964716622013493,0.18365293812790973,0.15761969218375307
lh_G&S_frontomargin_thickness,AOMIC_1000,0.016773971593077586,0.9857803315240901,0.15607273086978551,0.13609573251456658
lh_G&S_frontomargin_thickness,AOMIC_PIPO2,0.029244309649242628,0.9725485892536558,0.14480628680549262,0.18486726601527423
lh_G&S_frontomargin_thickness,ATV,-0.019507617429068924,1.3397568932830972,0.1433527290221314,-0.02326301584054776
lh_G&S_frontomargin_thickness,CIN,-0.009420137249979588,1.0227549351257315,0.1580849712029979,0.09533404514059338
lh_G&S_frontomargin_thickness,CMI_CBIC,0.09511736230049073,0.911688786239322,0.18505960936109764,0.33451901475300555
lh_G&S_frontomargin_thickness,CMI_RU,0.09286068814753368,0.9130135974984596,0.2654498055010258,0.30536894893764727
lh_G&S_frontomargin_thickness,CMI_SI,0.1355730747421341,0.8850747677186022,0.21284146347128158,0.3682624371296005
lh_G&S_frontomargin_thickness,CNP-35343.0,0.006540602213383484,0.9943368583996035,0.13082308737514894,0.09678983000448899
lh_G&S_frontomargin_thickness,CNP-35426.0,-0.03913912903375616,1.0646428991023875,0.12575285192037275,-0.01960006007625946
lh_G&S_frontomargin_thickness,COI,-0.06755099879190052,1.0816100613759165,0.1261803032535802,-0.04043440321410818
lh_G&S_frontomargin_thickness,HCP_A_MGH,0.026033240845963368,0.9741187640286795,0.18250573035972867,0.16711961925793647
lh_G&S_frontomargin_thickness,HCP_A_UCLA,0.057958902828653014,0.9640927720233474,0.23528190525848128,0.27505441071403297
lh_G&S_frontomargin_thickness,HCP_A_UM,0.05417716774658221,0.9577457476050847,0.216451989626395,0.23833829480283197
lh_G&S_frontomargin_thickness,HCP_A_WU,0.10128974926170664,0.9012958574990336,0.18674612128093065,0.37240229444346046
lh_G&S_frontomargin_thickness,HCP_D_MGH,0.1770280001693526,0.8465536996102344,0.2001203217636995,0.4309255032963373
lh_G&S_frontomargin_thickness,HCP_D_UCLA,0.19699014958581418,0.8485181777654459,0.21190519850962977,0.4645138946827831
lh_G&S_frontomargin_thickness,HCP_D_UM,0.07380339903867472,0.9488947954472698,0.22610807898182617,0.2726071338198414
lh_G&S_frontomargin_thickness,HCP_D_WU,-0.06380833470892266,1.0659602882533108,0.24428766142388267,0.034236219730347114
