ROI,site,EV,SMSE,RMSE,Rho
lh_G&S_frontomargin_thickness,ABCD_01,0.03142820388160483,0.9690740263496745,0.18357314217465023,0.22582313135291732
lh_G&S_frontomargin_thickness,ABCD_02,0.021414251363988446,0.9801218889853992,0.1396983267463632,0.15088539811634163
lh_G&S_frontomargin_thickness,ABCD_03,0.016783515193071974,0.9844991228845629,0.1373138701144019,0.13038200912420378
lh_G&S_frontomargin_thickness,ABCD_04,0.01038127232220687,0.9989953549275327,0.15540510626018653,0.10227044289262291
lh_G&S_frontomargin_thickness,ABCD_05,0.010531537435963134,0.9896972719316645,0.1599727151773841,0.10303800242169195
lh_G&S_frontomargin_thickness,ABCD_06,0.0031470974661239604,0.9980001026859571,0.13648814922469965,0.06978224194401608
lh_G&S_frontomargin_thickness,ABCD_07,0.0009817363923106948,1.0077075051735327,0.14062933929151736,0.06458626900953744
lh_G&S_frontomargin_thickness,ABCD_08,0.041906247535659524,0.9583566110604193,0.14217450765325965,0.24501687901990282
lh_G&S_frontomargin_thickness,ABCD_09,-0.009172927708789969,1.0122348690615863,0.14220319405842816,0.015571228411447566
lh_G&S_frontomargin_thickness,ABCD_10,0.03811103168227792,0.9620724646189622,0.155022561909409,0.2443794021696541
lh_G&S_frontomargin_thickness,ABCD_11,0.009365493932141034,0.9974322282843231,0.147144663016928,0.0971138832312915
lh_G&S_frontomargin_thickness,ABCD_12,0.02486777121887984,0.984427100330078,0.1384323847807482,0.17546011268653863
lh_G&S_frontomargin_thickness,ABCD_13,0.025469290814585266,0.9755793927185363,0.17131051502068875,0.1876509194398302
lh_G&S_frontomargin_thickness,ABCD_14,0.01561227417365152,0.98472679152395,0.1513482881256655,0.12922420196986278
lh_G&S_frontomargin_thickness,ABCD_15,0.015685512228005516,0.9855603294573204,0.16474743931415192,0.13022238759336205
lh_G&S_frontomargin_thickness,ABCD_16,0.02507142456543121,0.9758451212398407,0.13721747538267584,0.16533344171701314
lh_G&S_frontomargin_thickness,ABCD_17,-0.0033816779382349615,1.005619186932544,0.22823953068433409,0.011289705819934544
lh_G&S_frontomargin_thickness,ABCD_18,0.00323924638793216,0.9967709935434732,0.15089408720063827,0.0699061681981017
lh_G&S_frontomargin_thickness,ABCD_19,-0.008196662756224438,1.0116554204374844,0.1992405942318043,-0.02358348980594617
lh_G&S_frontomargin_thickness,ABCD_20,0.010477245508711874,0.9895318724742875,0.1397551112110333,0.10281800567496681
lh_G&S_frontomargin_thickness,ABCD_21,0.007132799252986377,0.994278228550445,0.14715851116489556,0.08659847879802339
lh_G&S_frontomargin_thickness,CNP-35343.0,-0.02074319640709632,1.033114612141519,0.1284315984888259,0.08141340510348283
lh_G&S_frontomargin_thickness,CNP-35426.0,0.1103282073465045,0.8902728622199478,0.15220669584187588,0.3591014205652745
lh_G&S_frontomargin_thickness,HCP_A_MGH,0.07767111459965081,0.9373295084903414,0.1865320351888969,0.2959168588380786
lh_G&S_frontomargin_thickness,HCP_A_UCLA,0.06815471862321443,0.9486042647110533,0.1587158461634113,0.30560486172791335
lh_G&S_frontomargin_thickness,HCP_A_UM,0.038945596776307934,0.9617786869495846,0.2088747395770727,0.19780788867072424
lh_G&S_frontomargin_thickness,HCP_A_WU,0.06513474263028174,0.9407108354351598,0.19916465847904297,0.2776147199079319
lh_G&S_frontomargin_thickness,HCP_D_MGH,0.21097288042335427,0.7953283623712871,0.20335673540938012,0.48596751888715967
lh_G&S_frontomargin_thickness,HCP_D_UCLA,0.08909634702636682,0.9180972853811034,0.2518737080087264,0.3000600918803653
lh_G&S_frontomargin_thickness,HCP_D_UM,0.05972500112123191,0.9412394571093725,0.26042403856939955,0.24453883745490324
lh_G&S_frontomargin_thickness,HCP_D_WU,0.013504380642632818,0.986797917706827,0.21325304816408572,0.19123931414379947
lh_G&S_frontomargin_thickness,HCP_EP_BWH,0.17480820150543108,0.8575339478193941,0.16885737422363822,0.5150336584519742
lh_G&S_frontomargin_thickness,HCP_EP_IU,-0.09581400363618142,1.0963700099768374,0.18937549204724038,-0.17870571372360278
lh_G&S_frontomargin_thickness,HCP_EP_MGH,0.07394718465530237,1.3469444096945493,0.1947613425695639,0.2890231475208428
lh_G&S_frontomargin_thickness,HCP_EP_McL,0.0633195930419802,0.9713561711280082,0.2089613844363414,0.30874956847340085
lh_G&S_frontomargin_thickness,KCL,0.034251988395481714,0.9720643735727443,0.11818165178301372,0.22769420026294365
lh_G&S_frontomargin_thickness,Oasis3,-0.010779648878682435,1.0167438271285794,0.1923708061977149,0.05507462919576579
lh_G&S_frontomargin_thickness,RU,0.22907540445757069,0.7723213612871997,0.1852543583947462,0.4893057413227674
lh_G&S_frontomargin_thickness,SI,0.2634441717949626,0.7397441366388033,0.20304160950789513,0.553714375350178
lh_G&S_frontomargin_thickness,UMich_CWS,-0.023614527867717783,1.0379001072451761,0.30782471373303644,-0.06541220559723332
lh_G&S_frontomargin_thickness,UMich_IMPs,0.09983137563947964,0.9044235617628106,0.16804185133894367,0.3247411858239371
lh_G&S_frontomargin_thickness,UMich_MTwins,0.09039242326522046,0.9189082359542663,0.17723057521547256,0.3119407005774012
lh_G&S_frontomargin_thickness,UMich_SAD,0.09322019479776467,0.914092631421687,0.17433682154441021,0.32171634294047696
lh_G&S_frontomargin_thickness,UMich_SZG,0.23754533213686702,0.8396353398435659,0.1579766617019594,0.597603076801184
lh_G&S_frontomargin_thickness,cam,0.024988536822564855,0.9781460029393847,0.16553766903505263,0.17910685001400925
