ROI,site,EV,SMSE,RMSE,Rho
lh_G&S_frontomargin_thickness,ds000115,0.01748153355003057,0.9829378149845716,0.14881894350781796,0.18827227641507308
lh_G&S_frontomargin_thickness,ds000222,0.028264249710811984,1.159461905621239,0.19899969720154917,0.1762544193561713
lh_G&S_frontomargin_thickness,ds003416,-0.006263266976565207,1.028758437241318,0.24669376647411725,-0.013014106793662255
lh_G&S_frontomargin_thickness,ds003469,-0.012259841818740735,1.0140427309262987,0.17637915674262172,0.08942314735752498
lh_G&S_frontomargin_thickness,ds003653,-0.021035569693140577,1.0393880494557075,0.14403642284260504,0.05909409560730851
lh_G&S_frontomargin_thickness,ds003826,-0.02946624791003538,1.0413868751714015,0.16431562794270352,-0.00794443725622109
lh_G&S_occipital_inf_thickness,ds000115,0.04720273378549256,1.4290769157607952,0.15885686174940394,0.21825381088438972
lh_G&S_occipital_inf_thickness,ds000222,0.05397285954854303,1.1090972117602356,0.2118440724123906,0.29313308985306397
lh_G&S_occipital_inf_thickness,ds003416,0.005145247797610386,0.995016089051014,0.2726792402130241,0.12399490781263871
lh_G&S_occipital_inf_thickness,ds003469,-0.004928947178315823,1.0094434873479163,0.16473705794409974,0.06813528067876616
lh_G&S_occipital_inf_thickness,ds003653,0.027668628976772136,0.9891430679671473,0.1664252936378959,0.17493630732836252
lh_G&S_occipital_inf_thickness,ds003826,-0.007987509198821519,1.0369750786407714,0.1869504814886829,0.004815063992229611
lh_G&S_paracentral_thickness,ds000115,-0.0037824066688250113,1.00417016877007,0.1744739967674105,0.13037580636751003
lh_G&S_paracentral_thickness,ds000222,0.26208106380175766,0.7707500172607915,0.209137592187321,0.5401027884704258
lh_G&S_paracentral_thickness,ds003416,0.021030564438225707,0.9865813646063419,0.17716178307562214,0.1570445829373051
lh_G&S_paracentral_thickness,ds003469,-0.02845993156859583,1.0963380810219354,0.14227616497001444,0.10152917707904766
lh_G&S_paracentral_thickness,ds003653,-0.025441237556796503,1.2757513868615862,0.15021663404790295,0.06852374159512672
lh_G&S_paracentral_thickness,ds003826,0.04112521907765199,0.9835196104313902,0.13670833394525367,0.20287326185904128
lh_G&S_subcentral_thickness,ds000115,0.029698742327302963,1.0492012189310855,0.1685077403608514,0.18792169237627163
lh_G&S_subcentral_thickness,ds000222,0.3916228264951762,0.6948521413462311,0.19239262376345653,0.6607338490023271
lh_G&S_subcentral_thickness,ds003416,-0.005925220121113073,1.0318880680433538,0.17909015349139382,-0.08326309510755082
lh_G&S_subcentral_thickness,ds003469,0.02144739859368705,1.0882791324308247,0.15577499631527675,0.19263940611316754
lh_G&S_subcentral_thickness,ds003653,0.0798891176132196,0.9470259750590582,0.16889079821181083,0.28411607402379124
lh_G&S_subcentral_thickness,ds003826,0.09022316575086864,0.9165575717301012,0.13892651148880292,0.32286294555560646
lh_G&S_transv_frontopol_thickness,ds000115,0.015590629702534775,1.052374352477928,0.14727574123802792,0.24904092160427319
lh_G&S_transv_frontopol_thickness,ds000222,0.13042520951519654,0.8705513468224605,0.20317335785607932,0.36238916498702256
lh_G&S_transv_frontopol_thickness,ds003416,0.0022348423503282255,0.9982058853180759,0.3216327306337781,0.049021071884895503
lh_G&S_transv_frontopol_thickness,ds003469,0.05847851762201073,0.9822439784257815,0.16090360915596993,0.25528811000651463
lh_G&S_transv_frontopol_thickness,ds003653,0.022117389417657063,1.0557227482140505,0.17845696669174613,0.1681426799246665
lh_G&S_transv_frontopol_thickness,ds003826,-0.009748288424285878,1.0119584100657213,0.17580789019108103,0.07802398985912613
lh_G&S_cingul-Ant_thickness,ds000115,-0.004366429828404517,1.0069675599055652,0.13955291790286753,0.1904803900313356
lh_G&S_cingul-Ant_thickness,ds000222,0.2624497911518282,0.7377177463374945,0.14591310736462768,0.5128110313005168
lh_G&S_cingul-Ant_thickness,ds003416,-0.011620996570440134,1.1288080532652616,0.21408428563511192,-0.04020714373616055
lh_G&S_cingul-Ant_thickness,ds003469,-0.06417713318772855,1.083236790276171,0.15740442126927243,0.08800173733819926
lh_G&S_cingul-Ant_thickness,ds003653,0.032008734590210364,0.9718204765215939,0.1277212354229625,0.23208780474748983
lh_G&S_cingul-Ant_thickness,ds003826,0.11435017683351867,0.9111183843743451,0.11535030424051253,0.3424377218735365
lh_G&S_cingul-Mid-Ant_thickness,ds000115,0.051191294686569466,0.9598601421895856,0.1699199117395666,0.2616032946253309
lh_G&S_cingul-Mid-Ant_thickness,ds000222,0.4724035273002849,0.564850398108453,0.15194130684602755,0.6993389112886145
lh_G&S_cingul-Mid-Ant_thickness,ds003416,-0.046563830189786604,1.0667525253144452,0.17925131425772733,-0.13204186138482155
lh_G&S_cingul-Mid-Ant_thickness,ds003469,0.09806193712559697,0.9029895441085508,0.13579464828054974,0.3340577462692676
lh_G&S_cingul-Mid-Ant_thickness,ds003653,0.1399671407720432,0.8611980160625133,0.1347648907477075,0.3742147102184107
lh_G&S_cingul-Mid-Ant_thickness,ds003826,0.035065310217851864,0.9655243140871431,0.14238458841895787,0.20921573114159508
lh_G&S_cingul-Mid-Post_thickness,ds000115,0.18637933496992354,0.8144837838873973,0.10959395589123859,0.43918352588004284
lh_G&S_cingul-Mid-Post_thickness,ds000222,0.33553489601445097,0.6842360223976138,0.16275651766432558,0.5839506801390207
lh_G&S_cingul-Mid-Post_thickness,ds003416,-0.00535978172619922,1.0054637857604696,0.18581498768542637,-0.037474226648534364
lh_G&S_cingul-Mid-Post_thickness,ds003469,0.02342716833363434,1.1494494956696801,0.12855499216354102,0.2859591615995937
