ROI,site,EV,SMSE,RMSE,Rho
lh_G&S_frontomargin_thickness,ABIDE_GU,0.0636702935910749,0.9485201979139863,0.16349167181652222,0.2533738627403608
lh_G&S_frontomargin_thickness,ABIDE_KKI,-0.06563613749750408,1.068275526047135,0.2200035695062641,-0.08485712731594874
lh_G&S_frontomargin_thickness,ABIDE_NYU,0.23438507047596757,0.7860637858151466,0.19029799216912965,0.48501537309896986
lh_G&S_frontomargin_thickness,ABIDE_USM,0.14591383424399085,0.8639764401164958,0.1559345132930033,0.38273396640034024
lh_G&S_frontomargin_thickness,ADD200_KKI,0.09034512165742681,0.9202762967874604,0.2120001912938612,0.34118133477075285
lh_G&S_frontomargin_thickness,ADD200_NYU,-0.026650198336818143,1.0271673586282013,0.24118052991484376,0.023105656422195288
lh_G&S_frontomargin_thickness,CIN,0.05341201409529228,0.9468798620277787,0.18322140052117694,0.24306188587568162
lh_G&S_frontomargin_thickness,CNP-35343.0,0.05784024154227385,0.9640806416998614,0.12346043223498046,0.2653782138192806
lh_G&S_frontomargin_thickness,CNP-35426.0,0.07458436031351845,0.9736904942621323,0.16007869000561165,0.3596549948682958
lh_G&S_frontomargin_thickness,COI,0.015582967715617624,0.9894321700734526,0.13522754441809937,0.13415199153044186
lh_G&S_frontomargin_thickness,HCP_EP_BWH,0.08476732859277214,1.0182731182502192,0.22452435772907478,0.3821825665557426
lh_G&S_frontomargin_thickness,HCP_EP_IU,-0.02807303913875203,1.2004172332779295,0.20746608773202613,-0.028623828579916973
lh_G&S_frontomargin_thickness,HCP_EP_MGH,0.024507664733435797,1.117935165999623,0.5062182774726774,0.24820992951924928
lh_G&S_frontomargin_thickness,HCP_EP_McL,0.04797749165823495,1.7009722176623023,0.2485665483393549,0.2605251369862571
lh_G&S_frontomargin_thickness,HKH,-0.004513627677608545,1.040055235436158,0.17411309963156485,0.030368710211895494
lh_G&S_frontomargin_thickness,HRC,-0.012631337043993884,1.0555168621981137,0.2655755304991797,-0.06244174275238831
lh_G&S_frontomargin_thickness,HUH,0.024453846783729638,0.9878513493823036,0.2339796021466198,0.18390683203480554
lh_G&S_frontomargin_thickness,KCL,0.025689868226160817,1.0068948572490068,0.18886726944639343,0.1609338824609794
lh_G&S_frontomargin_thickness,KTT,-0.046888833253711404,1.3782884753874334,0.1986125703333361,-0.2665670747631774
lh_G&S_frontomargin_thickness,KUT,0.03706229889096213,1.0048614046771749,0.16937386787394515,0.21035249153964844
lh_G&S_frontomargin_thickness,Oasis2,-0.028523394627482546,1.0467558460257063,0.27675713625522963,-0.11333364266763529
lh_G&S_frontomargin_thickness,Oasis3,0.022299907742970304,1.046772497008947,0.20886411372421365,0.14951866922454568
lh_G&S_frontomargin_thickness,SWA,0.030935139868242145,0.9830321641877688,0.14360755356404353,0.18391712729733412
lh_G&S_frontomargin_thickness,UMich_CWS,0.1966299488497547,0.8258105268263104,0.22704372424451513,0.5108836330158013
lh_G&S_frontomargin_thickness,UMich_SAD,-0.03927694459670206,1.0420248980230191,0.17168485635247963,-0.010767135220377123
lh_G&S_frontomargin_thickness,UMich_SZG,0.02777782004231044,1.004404578262022,0.23545074431323684,0.1740634273081462
lh_G&S_frontomargin_thickness,UTO,0.04778309636114553,1.2822181181041306,0.15145168087223057,0.21899540110918475
lh_G&S_frontomargin_thickness,delta,0.014899021171875804,1.0677086783782839,0.20367280591952489,0.12210060650525648
lh_G&S_frontomargin_thickness,top,0.07835439258894383,0.998738063415127,0.18392359892486998,0.3330270558402355
lh_G&S_occipital_inf_thickness,ABIDE_GU,-0.004030073858632077,1.228631470717581,0.20335585551149268,0.00047497764657181054
lh_G&S_occipital_inf_thickness,ABIDE_KKI,-0.00417117104202025,1.0267201382557374,0.2019719044710862,-0.00896192870300808
lh_G&S_occipital_inf_thickness,ABIDE_NYU,0.10080093154763214,0.9008392936934405,0.22052631314548596,0.33729736815614775
lh_G&S_occipital_inf_thickness,ABIDE_USM,0.07457542577151954,0.9266986138585397,0.1732207054723086,0.275064498678178
lh_G&S_occipital_inf_thickness,ADD200_KKI,0.045824796882888874,0.9757727846976417,0.23098512698877804,0.46761906123471697
lh_G&S_occipital_inf_thickness,ADD200_NYU,-0.013071816962641591,1.0271088021085282,0.22208906461475533,-0.08873302956570119
lh_G&S_occipital_inf_thickness,CIN,0.027107111620751856,1.1713987612248176,0.21825380990260454,0.17830833598543527
lh_G&S_occipital_inf_thickness,CNP-35343.0,-0.006667123411416398,1.0072950891015484,0.16419206931534727,0.013698682443169578
lh_G&S_occipital_inf_thickness,CNP-35426.0,0.016045314659108745,1.220768106924716,0.16179970039956315,0.1270865851354919
lh_G&S_occipital_inf_thickness,COI,0.01519095972784934,1.0334799330214557,0.15045299776830232,0.12434013653848414
lh_G&S_occipital_inf_thickness,HCP_EP_BWH,0.015796210794459586,0.9853090453056399,0.2096597318450331,0.12590110820250133
lh_G&S_occipital_inf_thickness,HCP_EP_IU,0.05236482834323031,0.9476823991172143,0.1976534677785148,0.29045792369787354
lh_G&S_occipital_inf_thickness,HCP_EP_MGH,0.05520130331911022,1.1970905607666138,0.44525170231695765,0.5406845008046548
lh_G&S_occipital_inf_thickness,HCP_EP_McL,0.004130630771234878,1.0190051075354667,0.211371630390538,0.0682452562043839
lh_G&S_occipital_inf_thickness,HKH,0.00535942670781675,1.0154320124160492,0.2143410608041287,0.0798353452733418
lh_G&S_occipital_inf_thickness,HRC,0.002251910250671174,1.044833726216076,0.23429425246279062,0.047709097447410934
